student_id,cgpa,Department,course_1_name,course_1_grade,Course_1_effect_cgpa,course_2_name,course_2_grade,Course_2_effect_cgpa,course_3_name,course_3_grade,Course_3_effect_cgpa,course_4_name,course_4_grade,Course_4_effect_cgpa,open_elective_1_name,open_elective_1_grade,open_elective_1_effect_cgpa,open_elective_2_name,open_elective_2_grade,open_elective_2_effect_cgpa,open_elective_3_name,open_elective_3_grade,open_elective_3_effect_cgpa,skills_1,skills_2,skills_3,Technical_skill_1,Technical_skill_2
RA2100366653844,8.88,NWC,Data Mining Techniques,B+,good,Blockchain Development,A,bad,Cloud Migration Planning,B,bad,Machine Learning Applications,B,good,History of Jazz Music,A+,bad,Health and Wellness,A,bad,Introduction to Geography,B+,good,event production,data entry,teamwork,Distributed Systems,Express.js
RA2123382691620,6.15,CTECH,Data Warehousing Solutions,F,bad,E-commerce Strategies,C,bad,Predictive Modeling Techniques,F,bad,Ethical Hacking Techniques,B,bad,Mobile App Development,C,bad,Creative Writing Workshop,F,bad,Introduction to Art History,C,bad,video production,team leadership,creative problem solving,Spring Boot,Lean
RA2120129523057,7.47,NWC,Game Design Principles,F,bad,Social Media Analytics,C,bad,Web Development Tools,B,bad,Big Data Analytics,F,bad,Introduction to Environmental Engineering,F,bad,Introduction to Environmental Sociology,F,bad,Introduction to Environmental Psychology,B,bad,customer service,presentation skills,problem solving,Containerization,Redux
RA2121047928389,8.03,NWC,Web Application Security,B,good,Game Design Principles,B+,bad,Software Quality Assurance,B,good,Agile Project Management,B+,good,Data Analysis with Python,A,bad,Introduction to Art History,B+,bad,Introduction to Environmental Engineering,B+,bad,content marketing,creative writing,web analytics,Cryptocurrency,Google Cloud
RA2101262064272,6.93,NWC,Machine Learning Applications,B,good,Cyber Law and Ethics,C,good,Digital Strategy Implementation,B,good,Agile Project Management,C,good,Introduction to Environmental Political Science,B,good,The Art of Storytelling,B,good,Introduction to Environmental Geography,F,good,web design,presentation skills,time management,Cryptocurrency,Rust
RA2112271069080,7.69,CTECH,Mobile App Testing,C,good,Data Warehousing Solutions,B,good,User Interface Design,F,good,IT Project Portfolio Management,C,good,Introduction to Psychology,F,good,Introduction to Astronomy,F,good,Entrepreneurship Bootcamp,C,good,accounting,social media management,critical thinking,Technical Writing,Continuous Deployment
RA2112104883764,9.73,CINTEL,Database Administration,A,bad,Advanced Data Analysis,O,bad,Internet of Things,A+,bad,Health Information Exchange,A,good,Data Analysis with Python,A+,bad,Personal Branding Strategies,A,bad,Digital Marketing Strategies,A+,bad,negotiation,presentation skills,content management,Firebase,Swift
RA2122299773450,8.7,NWC,Software Configuration Management,B,bad,Social Networking Platforms,B+,bad,Digital Communication Strategies,B+,bad,IT Service Management,A,good,Introduction to Engineering,B+,good,Introduction to Gender Studies,A,bad,Entrepreneurial Finance,A+,good,branding,content management,teamwork,Hive,Hive
RA2102205190300,9.5,CINTEL,Cybersecurity Essentials,O,bad,Software Configuration Management,O,bad,Information Security Governance,O,bad,Software Testing Methods,A,good,Introduction to Geography,O,good,Music Production Techniques,A+,good,Introduction to World Religions,O,bad,social media marketing,time management,content marketing,Spark,Mobile Development
RA2103015393736,7.77,NWC,Artificial Neural Networks,C,good,Cloud Architecture Design,F,good,Software Quality Assurance,C,good,Digital Health Records,C,good,Mobile App Development,C,good,Introduction to Environmental Bioinformatics,C,good,Introduction to Environmental Technology,C,good,creative problem solving,user experience design,content creation,Scala,CakePHP
RA2102167399228,9.82,CINTEL,Robotic Automation Systems,O,bad,Network Security Protocols,A,bad,Artificial Neural Networks,A+,bad,Web Development Frameworks,A,bad,Entrepreneurial Finance,A+,good,Introduction to Environmental Philosophy,A,bad,Introduction to Geology,A+,bad,programming,survey design,photography,Distributed Systems,Test-Driven Development
RA2100097589052,5.68,CTECH,Database Administration,F,bad,IT Governance Frameworks,B,bad,Data Privacy Regulations,F,bad,Machine Learning Algorithms,C,bad,Introduction to Environmental Regulation,B,bad,Introduction to Environmental Law,B,bad,Introduction to Environmental Sociology,C,bad,public speaking,web analytics,copywriting,Network Administration,Agile Methodologies
RA2101362645874,6.0,NWC,Risk Management Strategies,F,bad,Health Informatics,F,bad,Digital Product Launch,B,bad,E-commerce Integration,C,bad,Introduction to Environmental Sociology,B,bad,The Art of Storytelling,B,bad,Introduction to Environmental Physics,C,bad,content creation,market analysis,content management,RESTful APIs,Network Administration
RA2102285948117,6.81,DSBS,Data Privacy Regulations,F,bad,Web Development Frameworks,C,bad,Mobile App Development,B,bad,Artificial Neural Networks,C,bad,Data Analysis with Python,B,bad,User Experience Design,B,bad,Health and Wellness,B,bad,survey design,financial analysis,database management,Node.js,Bootstrap
RA2121059079004,9.2,CTECH,Big Data Analytics,O,bad,IoT Device Management,A+,bad,Cloud Security Solutions,A+,bad,Database Administration,A+,good,Introduction to Photography,A+,bad,Introduction to Environmental Ethics,O,bad,Personal Branding Strategies,A,bad,research,social networking,SEO optimization,Technical Support,Docker
RA2103183208309,8.76,NWC,E-commerce Platforms,A+,bad,Network Security Protocols,A+,bad,Computer Forensics,B,good,User Interface Design,A,bad,Introduction to Astronomy,B,bad,Introduction to Engineering,A+,bad,Introduction to Astronomy,A,bad,branding,public relations,forecasting,SQL,Go
RA2111234029633,8.63,DSBS,Ethical Hacking Techniques,A,bad,Digital Product Launch,A,bad,IT Governance Compliance,A+,bad,Database Management Systems,A,bad,Introduction to Human Anatomy,B,bad,Introduction to Bioinformatics,A,good,Introduction to Environmental Justice,B,bad,budgeting,presentation skills,data analysis,Python,Decentralized Finance
RA2121339479599,9.98,CINTEL,Information Security Governance,O,bad,Agile Software Development,A,bad,User Interface Design,A+,bad,Artificial Neural Networks,A,bad,Introduction to Engineering,A,bad,Introduction to Acting,A,good,Introduction to Environmental Anthropology,O,bad,business development,client relations,event production,Continuous Deployment,Backbone.js
RA2110248137914,5.87,NWC,Digital Health Technologies,B,good,Information Security Governance,B,good,Digital Transformation Strategies,B,good,Data Visualization Techniques,F,good,Introduction to Sociology,B,good,Introduction to Art History,C,good,Introduction to Sociology,F,good,social networking,business development,content marketing,CodeIgniter,Cryptocurrency
RA2111033406362,7.23,CTECH,Virtual Reality Applications,F,bad,Digital Product Launch,C,bad,Internet Marketing Strategies,C,bad,Game Design Principles,B,bad,Introduction to Graphic Novels,B,bad,Introduction to Sociology,C,bad,Introduction to Economics,B,bad,business development,content marketing,financial analysis,MongoDB,Big Data
RA2120277808254,6.21,NWC,Artificial Neural Networks,F,bad,Business Intelligence Tools,F,bad,Game Development Principles,B,bad,Mobile App Development,C,bad,Creative Coding,F,bad,Introduction to History,B,bad,Introduction to Engineering,C,bad,forecasting,data visualization,user experience design,Computer Vision,TypeScript
RA2120151478520,8.41,NWC,Business Process Reengineering,B+,bad,Business Process Optimization,A,bad,Artificial Intelligence Ethics,A+,good,Data Mining Techniques,B+,good,Introduction to Sociology,B,bad,Introduction to Sociology,A,bad,Introduction to Human Anatomy,B+,bad,time management,financial analysis,financial planning,CakePHP,Redux
RA2103318860564,5.41,NWC,Artificial Neural Networks,C,good,Virtual Reality Applications,F,good,Business Process Reengineering,C,good,Virtualization Technologies,F,good,Introduction to Criminal Justice,C,good,Introduction to Environmental Policy,B,good,Introduction to Anthropology,C,good,networking,financial planning,social networking,SOAP,Cybersecurity
RA2120020166989,9.18,CTECH,Social Media Management,O,bad,Supply Chain Management Systems,O,bad,Big Data Analytics,A+,bad,Blockchain Implementation,A+,bad,Introduction to Literature,A,bad,Introduction to Philosophy,A,bad,Introduction to Sustainable Energy,A+,good,research,SEO optimization,data visualization,Go,Technical Support
RA2123324025671,9.06,DSBS,Database Management Systems,A,bad,Digital Product Launch,A+,bad,Software Development Lifecycle,A,bad,Artificial Intelligence in Business,A,bad,Introduction to Sustainable Agriculture,A,bad,Web Development Fundamentals,O,good,Introduction to Computer Science,A,bad,video editing,market research,media relations,CSS,CakePHP
RA2122055300890,5.85,DSBS,Wireless Networking Technologies,F,bad,Social Networking Platforms,C,bad,Computer Network Design,C,bad,Mobile App Testing,B,bad,Introduction to Environmental Engineering,B,bad,Introduction to Environmental Education,F,bad,Introduction to Sociology,B,bad,media relations,media relations,web analytics,CodeIgniter,Kanban
RA2103293163478,9.24,CTECH,Digital Communication Strategies,A,bad,Data Warehousing Design,A,good,E-commerce Strategies,A,bad,Social Networking Platforms,O,bad,Introduction to World Religions,A+,bad,Introduction to Art History,A+,bad,Travel Photography,O,bad,data entry,teamwork,strategic planning,Pig,Game Development
RA2121107281023,7.91,DSBS,Cybersecurity Frameworks,B,good,Data Warehousing Solutions,B,good,Social Media Marketing,F,good,IT Infrastructure Management,F,good,Introduction to Psychology,C,good,History of Jazz Music,B,good,Introduction to Environmental Geology,C,good,user experience design,strategic planning,data analysis,Decentralized Finance,Site Reliability Engineering
RA2112277545698,6.86,CTECH,Predictive Modeling Techniques,B,good,Predictive Modeling Techniques,F,good,Network Programming,B,good,Computer Network Design,B,good,Introduction to Environmental Communication,F,good,Graphic Design Principles,B,good,Introduction to Environmental Economics,B,good,data visualization,problem solving,copywriting,Network Security,Hadoop
RA2102001099785,7.29,NWC,Predictive Modeling Techniques,C,good,Cloud Architecture Design,B,good,Digital Product Launch,B,good,Cybersecurity Frameworks,C,good,Introduction to Environmental Physics,F,good,Introduction to Public Health,C,good,Data Analysis with Python,C,good,content strategy,photography,user experience design,Data Science,C#
RA2101051008566,6.12,NWC,Blockchain Implementation,B,good,Network Security Protocols,C,good,Cybersecurity Frameworks,B,good,Data Mining Techniques,F,good,Introduction to Environmental Engineering,F,good,Introduction to Environmental Policy,F,good,Introduction to Environmental Literature,F,good,database management,media relations,budgeting,Hadoop,Google Cloud
RA2103365158835,6.42,CINTEL,Health Information Exchange,F,bad,Digital Communication Strategies,F,bad,Digital Marketing Strategies,C,bad,E-commerce Strategies,F,bad,Introduction to Environmental Physics,F,bad,Introduction to Public Health,C,bad,Introduction to Environmental Computer Science,F,bad,forecasting,creative problem solving,financial planning,Smart Contracts,C#
RA2100283237501,7.58,DSBS,Cloud Computing Technologies,F,bad,Software Testing Methods,C,bad,Big Data Processing,C,bad,Information Systems Audit,C,bad,Mindfulness and Stress Management,B,bad,Introduction to Environmental Medicine,B,bad,Introduction to Bioinformatics,B,bad,financial analysis,financial planning,teamwork,Rust,Continuous Integration
RA2121108920396,5.46,DSBS,Digital Communication Strategies,C,good,Digital Health Technologies,C,good,Big Data Analytics,C,good,Digital Health Technologies,F,good,Introduction to Geography,B,good,Introduction to Environmental Linguistics,C,good,Health and Wellness,B,good,business development,public speaking,event marketing,CakePHP,Cryptocurrency
RA2123294453960,7.79,NWC,IT Project Portfolio Management,F,bad,Supply Chain Management Systems,C,bad,IT Infrastructure Management,B,bad,Network Programming,F,bad,Introduction to Environmental Bioinformatics,F,bad,Personal Branding Strategies,B,bad,Introduction to Environmental Geography,B,bad,data entry,financial planning,client relations,CakePHP,Backbone.js
RA2121212879831,5.3,CTECH,Data Science Techniques,C,good,Project Management Fundamentals,C,good,Artificial Intelligence in Business,F,good,Supply Chain Management Systems,F,good,Creative Writing Workshop,F,good,Introduction to Geography,C,good,Introduction to Environmental Literature,B,good,team leadership,strategic planning,budgeting,HTML,PHP
RA2111110986600,7.74,DSBS,IT Infrastructure Management,C,good,Web Application Security,F,good,IT Infrastructure Management,B,good,Cyber Law and Ethics,C,good,Introduction to Environmental Planning,F,good,Introduction to Environmental Design,B,good,Artificial Intelligence Fundamentals,C,good,proofreading,negotiation,creative writing,Mobile Development,Ruby on Rails
RA2111089831866,7.07,CTECH,IT Service Delivery,F,bad,Cloud Architecture Design,F,bad,Mobile App Testing,F,bad,Digital Communication Strategies,C,bad,Introduction to Environmental Mathematics,F,bad,Introduction to Engineering,C,bad,Introduction to Environmental Literature,F,bad,negotiation,research,branding,CakePHP,Flask
RA2100073856473,5.17,CINTEL,Digital Marketing Strategies,F,bad,Business Process Optimization,B,bad,Big Data Analytics,F,bad,Software Quality Assurance,B,bad,Introduction to Environmental Science,C,bad,Introduction to Psychology,B,bad,Culinary Arts,B,bad,event coordination,content marketing,media relations,Cloud Security,Behavior-Driven Development
RA2102276560251,6.89,CINTEL,Internet Marketing Strategies,C,good,Social Media Marketing,B,good,Quantum Computing Concepts,C,good,IT Service Delivery,C,good,Introduction to Virtual Reality,F,good,Introduction to Economics,F,good,Introduction to Environmental Engineering,B,good,content creation,time management,web analytics,Game Development,MongoDB
RA2121045806947,8.35,CTECH,Supply Chain Optimization,A+,bad,Artificial Intelligence Ethics,A,bad,Strategic IT Planning,B,bad,E-commerce Integration,A,bad,Introduction to Psychology,A+,bad,Introduction to Human Anatomy,A+,bad,Introduction to Acting,B,bad,critical thinking,problem solving,negotiation,Cloud Security,SOAP
RA2102288440445,6.02,DSBS,Game Development Principles,B,good,Network Security Protocols,C,good,Blockchain Applications,F,good,Web Application Security,F,good,Introduction to Film Studies,F,good,Introduction to Bioinformatics,C,good,Introduction to Mathematics,B,good,project coordination,critical thinking,data mining,Spring Boot,Firebase
RA2120035192744,9.71,CINTEL,Social Media Engagement,A+,good,Data Science Techniques,A+,bad,Game Design Principles,A+,bad,E-commerce Platforms,O,bad,Introduction to Environmental Technology,A,bad,Introduction to Geography,A+,bad,Introduction to Environmental Geography,A+,bad,research,content creation,public relations,PyTorch,IT Infrastructure
RA2102315473303,8.31,DSBS,IT Governance Compliance,B+,bad,Data Mining Techniques,A+,good,Strategic IT Planning,A,bad,Data Privacy Regulations,B,bad,Digital Illustration Techniques,A+,bad,Introduction to Environmental Policy,B+,bad,Mindfulness and Stress Management,A+,bad,critical thinking,media relations,forecasting,Decentralized Finance,Swift
RA2103040219810,6.23,CTECH,Supply Chain Management Systems,C,good,Predictive Analytics Models,B,good,Cloud Computing Security,B,good,Digital Product Launch,C,good,Introduction to History,B,good,Introduction to Philosophy,C,good,Introduction to Environmental Mathematics,C,good,accounting,time management,survey design,Vue.js,Redux
RA2111175684893,5.92,CTECH,Web Application Development,C,good,Cloud Architecture Design,F,good,Business Process Reengineering,F,good,Network Security Protocols,B,good,Introduction to History,C,good,Introduction to Environmental Regulation,C,good,User Experience Design,C,good,social networking,market analysis,financial planning,Code Review,Distributed Systems
RA2120197804777,6.21,NWC,Ethical Hacking Practices,B,good,Cyber Law and Ethics,B,good,Ethical Hacking Techniques,B,good,Mobile App Testing,C,good,Introduction to Environmental Design,C,good,Social Media Marketing,F,good,Introduction to Bioinformatics,B,good,copywriting,team leadership,sales,TypeScript,Perl
RA2113381563975,9.72,DSBS,Virtual Reality Applications,O,good,Digital Marketing Analytics,A+,good,Data Warehousing Solutions,A+,bad,IT Service Management,A,bad,Introduction to Criminal Justice,A+,bad,Introduction to Environmental Political Science,A,bad,Public Speaking Mastery,O,bad,branding,survey design,time management,Penetration Testing,Docker
RA2103391573292,7.24,CTECH,Game Design Principles,B,good,Data Privacy Regulations,B,good,Game Design Principles,B,good,Software Testing Methods,C,good,Introduction to Environmental Ethics,F,good,Introduction to Environmental Ethics,C,good,Introduction to Psychology,C,good,event production,data visualization,content strategy,UI/UX Design,Azure
RA2110396485158,7.94,CTECH,Software Configuration Management,B,good,IT Project Portfolio Management,C,good,Big Data Processing,B,good,Software Testing Methods,F,good,Introduction to Acting,C,good,Introduction to Sociology,C,good,Introduction to Forensic Science,C,good,content strategy,data mining,financial analysis,Bootstrap,Scala
RA2111206031343,7.77,CINTEL,Quantum Computing Concepts,F,bad,Software Testing Methods,C,bad,Internet of Things,B,bad,Digital Communication Strategies,B,bad,Public Speaking Mastery,C,bad,Introduction to Geology,F,bad,Introduction to Forensic Science,F,bad,financial analysis,branding,public speaking,C#,Virtualization
RA2103084088260,5.02,CTECH,Digital Health Records,C,good,Big Data Processing,F,good,Big Data Analytics,F,good,IT Project Portfolio Management,B,good,Creative Coding,B,good,Introduction to Anthropology,B,good,Introduction to Environmental Law,C,good,photography,leadership,data entry,Network Administration,Cryptocurrency
RA2110371123809,7.88,CTECH,Artificial Neural Networks,B,good,Information Systems Audit,F,good,IT Service Management,C,good,IoT Device Management,B,good,Graphic Design Principles,B,good,Introduction to Environmental Medicine,F,good,Introduction to Environmental Geology,C,good,critical thinking,project coordination,customer relationship management,Angular,Spark
RA2113203687688,7.69,NWC,Social Media Management,F,bad,Virtual Reality Applications,C,bad,Predictive Analytics Models,F,bad,Software Development Lifecycle,B,bad,Introduction to Environmental Computer Science,B,bad,Introduction to Environmental Law,F,bad,Introduction to Linguistics,C,bad,teamwork,proofreading,data visualization,C++,Backbone.js
RA2121196321152,7.28,CTECH,Health Informatics,B,good,Robotic Automation Systems,F,good,Health Information Exchange,C,good,Digital Advertising Campaigns,C,good,Introduction to Environmental Psychology,F,good,Introduction to Environmental Sociology,B,good,Introduction to Environmental Philosophy,C,good,branding,market research,presentation skills,Cloud Security,Azure
RA2101028704270,5.24,CTECH,Network Security Protocols,C,good,Cloud Migration Planning,B,good,Digital Health Technologies,B,good,Web Development Frameworks,C,good,Introduction to Geography,F,good,Web Development Fundamentals,F,good,Introduction to Environmental Law,C,good,social networking,time management,content strategy,Java,Virtualization
RA2111209449285,7.73,NWC,IoT Security Measures,F,bad,Social Media Analytics,B,bad,Advanced Data Analysis,C,bad,Web Application Development,F,bad,Introduction to Environmental Education,C,bad,Introduction to Environmental Justice,C,bad,Music Production Techniques,B,bad,content strategy,presentation skills,proofreading,SQL,Technical Writing
RA2102257062540,8.53,CINTEL,Advanced Data Analysis,B+,bad,Virtual Reality Applications,A+,bad,Data Visualization Techniques,B+,bad,Digital Marketing Analytics,A+,good,Introduction to Psychology,B+,bad,Introduction to Linguistics,A+,bad,Introduction to Environmental Policy,B+,bad,analytical thinking,web development,email marketing,Continuous Deployment,Swift
RA2102188717269,9.82,CINTEL,Software Configuration Management,A,bad,Digital Advertising Campaigns,O,bad,Predictive Analytics Models,A,good,Network Security Protocols,A+,bad,Introduction to Environmental Economics,A+,bad,Introduction to Gender Studies,O,bad,Introduction to Robotics,A+,bad,user experience design,database management,programming,Docker,Laravel
RA2120251069920,7.17,CTECH,Digital Transformation Strategies,C,good,Game Design Principles,F,good,Data Visualization Techniques,B,good,Digital Product Launch,C,good,Introduction to Game Design,C,good,Personal Finance Management,F,good,Introduction to Environmental Health,F,good,content marketing,project management,social networking,JavaScript,Firebase
RA2103347489897,9.9,NWC,Digital Marketing Analytics,A,bad,Data Science Techniques,O,bad,Artificial Neural Networks,A,good,IT Governance Frameworks,O,bad,User Experience Design,A,bad,Introduction to Photography,A+,bad,The Art of Storytelling,A+,bad,customer service,financial planning,time management,Mobile Development,Network Administration
RA2111190824771,7.36,NWC,Data Warehousing Solutions,C,good,Business Process Reengineering,B,good,Digital Marketing Strategies,F,good,Predictive Analytics Models,C,good,Introduction to Literature,F,good,Fashion Design Workshop,B,good,Introduction to Sociology,B,good,creative problem solving,strategic planning,event planning,Vue.js,Hadoop
RA2101152286699,6.52,CINTEL,IT Governance Frameworks,B,good,Network Security Analysis,F,good,Web Application Security,F,good,Business Process Optimization,F,good,User Experience Design,F,good,Introduction to Environmental Chemistry,B,good,Introduction to Environmental Bioinformatics,C,good,time management,problem solving,data analysis,Scrum,Cryptocurrency
RA2123223066233,6.67,DSBS,IT Governance Compliance,C,good,E-commerce Integration,B,good,Internet Marketing Strategies,B,good,Robotic Process Automation,C,good,Introduction to Environmental Psychology,C,good,Introduction to Astronomy,B,good,Introduction to Environmental Planning,F,good,public relations,project coordination,forecasting,Ethical Hacking,Redux
RA2121035785650,5.32,NWC,Predictive Analytics Models,B,good,Predictive Modeling Techniques,F,good,IT Service Management,F,good,Software Quality Assurance,C,good,Introduction to Environmental Engineering,C,good,Introduction to Game Design,B,good,Entrepreneurship Bootcamp,B,good,strategic planning,data entry,critical thinking,Ethical Hacking,Django
RA2121278955257,5.93,DSBS,Virtualization Technologies,B,good,Information Security Governance,F,good,IT Governance Compliance,F,good,Cybersecurity Frameworks,F,good,Introduction to Environmental Psychology,B,good,Introduction to Environmental Geology,B,good,Introduction to Robotics,C,good,media relations,photography,financial analysis,Behavior-Driven Development,Cloud Computing
RA2122038501655,5.03,DSBS,Agile Software Development,F,bad,Digital Communication Strategies,F,bad,Agile Software Development,B,bad,Computer Forensics,B,bad,Introduction to Computer Science,C,bad,Introduction to Environmental Physics,F,bad,Introduction to Robotics,F,bad,data visualization,creative problem solving,content creation,Blockchain,Natural Language Processing
RA2121378081262,7.97,CINTEL,Ethical Hacking Practices,C,good,Internet Marketing Strategies,B,good,Cloud Computing Security,B,good,Web Development Frameworks,F,good,Travel Photography,F,good,Introduction to Environmental Anthropology,C,good,Entrepreneurial Finance,F,good,data visualization,copywriting,teamwork,Technical Writing,Node.js
RA2122038388040,7.86,NWC,Network Security Protocols,C,good,Internet of Things,B,good,E-commerce Integration,F,good,Social Media Analytics,F,good,Introduction to Environmental Psychology,F,good,Introduction to Environmental Health,B,good,Introduction to Criminal Justice,B,good,proofreading,data analysis,video production,Go,Cybersecurity
RA2121325860375,5.02,DSBS,Computer Forensics,C,good,Cloud Migration Planning,F,good,Social Networking Platforms,C,good,Big Data Analytics,C,good,Introduction to Political Science,F,good,Yoga and Meditation,C,good,Introduction to Environmental Law,B,good,content creation,financial analysis,graphic design,Cryptocurrency,Ruby
RA2111167341008,5.95,DSBS,Network Security Analysis,B,good,Computer Forensics,B,good,Social Media Management,F,good,Ethical AI Practices,B,good,Creative Writing Workshop,B,good,Introduction to Environmental Geology,F,good,Introduction to Medicine,B,good,financial analysis,customer service,copywriting,TensorFlow,UI/UX Design
RA2103113458611,6.81,CTECH,Cybersecurity Essentials,B,good,Machine Learning Applications,B,good,IoT Security Measures,C,good,User Interface Design,F,good,Introduction to Physics,C,good,Introduction to Sustainable Agriculture,B,good,Introduction to Environmental Geography,B,good,media relations,survey design,accounting,jQuery,Redux
RA2103180129825,9.8,NWC,Virtual Reality Applications,A+,good,Cloud Computing Technologies,O,bad,Artificial Intelligence in Business,A,bad,Cybersecurity Essentials,O,bad,Introduction to Geography,A,bad,Introduction to Sociology,A,good,Introduction to Robotics,O,bad,forecasting,customer service,video editing,Node.js,TypeScript
RA2123168666150,7.38,CTECH,IoT Device Management,C,good,Business Intelligence Tools,B,good,IT Governance Compliance,B,good,Mobile Security Protocols,F,good,Introduction to Environmental Anthropology,C,good,Environmental Sustainability,C,good,Introduction to Environmental Sociology,F,good,teamwork,photography,financial planning,C#,CodeIgniter
RA2123352188932,9.95,DSBS,Network Programming,A,bad,Software Development Lifecycle,O,good,Information Systems Audit,A,bad,E-commerce Integration,O,bad,Introduction to Environmental Psychology,O,good,Mobile App Development,O,bad,Introduction to Bioinformatics,A+,bad,creative writing,negotiation,critical thinking,PHP,Bootstrap
RA2120089783903,6.8,CINTEL,Virtualization Technologies,C,good,Computer Forensics,C,good,Big Data Analytics,C,good,Data Mining Techniques,F,good,Introduction to Environmental Engineering,B,good,Introduction to Environmental Regulation,C,good,Digital Marketing Strategies,F,good,event marketing,content management,financial analysis,Blockchain,RESTful APIs
RA2113134361369,6.14,CTECH,User Experience Design,C,good,Ethical Hacking Practices,C,good,Blockchain Applications,B,good,Digital Marketing Analytics,B,good,Introduction to Graphic Novels,B,good,Introduction to Environmental Health,F,good,The Art of Storytelling,C,good,negotiation,critical thinking,customer relationship management,React,Ruby
RA2111363691129,9.48,DSBS,Wireless Networking Technologies,A+,good,Database Administration,O,bad,E-commerce Platforms,A+,bad,Game Design Principles,O,bad,Introduction to Chemistry,A+,bad,Introduction to Nutrition,O,bad,Introduction to Psychology,A+,good,email management,event marketing,data entry,Serverless Architecture,Ember.js
RA2100046002747,9.24,DSBS,IT Governance Compliance,A+,good,Information Systems Audit,A,bad,Cyber Law and Ethics,A,bad,IT Governance Frameworks,O,bad,Introduction to Environmental Engineering,A+,bad,Introduction to Environmental Technology,A+,bad,Introduction to Sociology,O,bad,sales,market analysis,project coordination,TypeScript,CakePHP
RA2101070199575,8.88,CTECH,Business Process Reengineering,A+,good,Artificial Neural Networks,A+,bad,IoT Device Management,A,bad,Cloud Migration Planning,A+,bad,Introduction to Medicine,A+,good,Introduction to Marine Biology,A+,bad,Introduction to Environmental Health,A,bad,market analysis,video editing,budgeting,Bootstrap,Flask
